storeName,storeLoc,avgRating,noReviews,cuisineType,priceRange,specialDiet,district,food,service,value,atmosphere
Ikea Cafeteria,"60 Tampines North Drive 2, Singapore 528764 Singapore",3.5,310,"Cafe, European, Swedish, Scandinavian",SGD 7 - SGD 13,Halal,Tampines North,3.5.1,3.5.2,4,3.5.3
Black Angus Steakhouse,"1 Tanglin Road # 01 Orchard Parade Hotel 08, Singapore 247905 Singapore",3.5,411,"American, Steakhouse, Bar",SGD 26 - SGD 66,Gluten Free Options,Central Area/City Area0.7 miles from Singapore Botanic Gardens,3.5,3.5,3,3.5
Shin Kushiya - VivoCity,"1 Harbourfront Walk #02-120 VivoCity, Singapore 098585 Singapore",3.5,193,"Japanese, Asian",SGD 20 - SGD 40,"Lunch, Dinner, Brunch",Bukit Merah0.6 miles from Singapore Cable Car,4,3.5,3.5,3.5
Gudetama Cafe,"3 Temasek Boulevard Suntec City Mall 01-361 Suntec City Mall, Singapore 038983 Singapore",3.5,234,"Breakfast, Lunch, Dinner, Brunch",Cafe,"Takeout, Seating, Highchairs Available, Table Service, Reservations",Marina Centre0.5 miles from Merlion Park,3.5,3.5,3,4
Supply and Demand,"8 Raffles Avenue Esplanade Mall Esplanade Mall #01-13 Annexe, Singapore 039802 Singapore",3.5,336,"Lunch, Dinner, Late Night, Drinks",Vegetarian Friendly,"Bar, Pizza, Italian, Diner, Gastropub",Marina Centre0.2 miles from Merlion Park,4,3.5,3.5,4
Nam Nam Noodle Bar,"Wheelock Place #B2-02 Wheelock Place  501, Singapore 238880, Singapore Singapore",3.5,235,"Vegetarian Friendly, Vegan Options","Asian, Vietnamese","Lunch, Dinner, Brunch",Museum0.5 miles from Orchard Road,3.5,3.5,3.5,3
RENNthai,"3D, River Valley Road #01-05, Singapore 179023 Singapore",3.5,359,"Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options","Asian, Thai",Central Area/City Area0.4 miles from Asian Civilisations Museum,3.5,3.5,3,3.5
Marche Movenpick,"252 North Bridge Road Raffles City Shopping Centre #01-17A Raffles City Shopping Centre, Singapore 179103 Singapore",3.5,284,"Vegetarian Friendly, Vegan Options","Bar, Pizza, European","Breakfast, Lunch, Dinner, Brunch, Late Night",City Hall0.1 miles from City Hall Building,4,4,3.5,4
The Penny Black Victorian London Pub,"26/27 Boat Quay, Singapore 049817 Singapore",3.5,259,"Bar, European, British, Pub",SGD 16 - SGD 33,"Lunch, Dinner, Brunch, Late Night, Drinks",Central Area/City Area0.3 miles from Merlion Park,3.5,4,3.5,4
No Signboard Seafood,"414 Geylang Road, Singapore 389392 Singapore",3.5,756,"Lunch, Dinner, Late Night","Chinese, Seafood, Asian, Singaporean","Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Red Light District1.7 miles from East Coast Park,4,3.5,3,3.5
Cali Ascott Raffles Place,"2 Finlayson Green Ascott Singapore Raffles Place, Singapore 049247 Singapore",3.5,162,"Bar, International, Grill",SGD 21 - SGD 50,"Breakfast, Lunch, Dinner, Drinks",Rochor0.3 miles from Little India,3.5,3.5,3.5,3.5
Yum Cha Restaurant,"20 Trengganu Street #02-01 Jinshan Hotel off Temple street, Chinatown, Singapore 058479 Singapore",3.5,638,Vegetarian Friendly,"Chinese, Asian","Lunch, Dinner, Brunch, Late Night",Outram0.0 miles from Chinatown,4,3.5,3.5,3.5
Jewel of India Restaurant,"11 Sam Leong Road Trio Trio Building, Singapore 207903 Singapore",3.5,120,"Vegetarian Friendly, Vegan Options","Indian, Asian","Lunch, Drinks, Dinner",Lavender0.4 miles from Little India,3.5,3.5,3.5,3.5
Outback Steakhouse Orchardgateway,"277 Orchard Road Orchard Gateway #04-01 Orchard Gateway, Hotel Jen, Singapore 238858 Singapore",3.5,402,"American, Steakhouse, Australian",SGD 26 - SGD 53,"Lunch, Dinner",Somerset0.1 miles from Orchard Road,3,3,3,3
Cugini's,"87 Club Street, Singapore 069455 Singapore",3.5,138,"Lunch, Dinner, Brunch, Late Night","Italian, Pizza, European","Takeout, Reservations, Seating, Serves Alcohol, Table Service",Outram0.1 miles from Chinatown,3.5,3.5,3,3.5
Motorino Singapore,"3A River Valley Road Merchants' Court Clarke Quay, Singapore 179020 Singapore",3.5,186,"Vegan Options, Vegetarian Friendly","Pizza, Italian","Lunch, Dinner",Central Area/City Area,3.5,4,3,3.5
Sankranti Restaurant,"79 Syed Alwi Road Opp Mustafa entrance 5, Singapore 207658 Singapore",3.5,180,"Vegetarian Friendly, Vegan Options, Halal","Indian, Asian","Lunch, Dinner, Drinks",Rochor0.4 miles from Little India,4,3.5,3.5,3.5
Singapore Food Street,"65 Airport Boulevard Changi Airport Terminal 3 Terminal 3, Singapore 819663 Singapore",3.5,187,"Vegetarian Friendly, Vegan Options","Chinese, Fast Food, Asian, Singaporean, Malaysian","Breakfast, Lunch, Dinner, Brunch",Changi,4,3.5,4,0
Ah Hoi's Kitchen,"1A Cuscaden Road Hotel Jen Tanglin Singapore Level 4 , Pool Side, Singapore 249716 Singapore",3.5,179,"Asian, Seafood, Singaporean",SGD 26 - SGD 132,Dinner,Central Area/City Area0.5 miles from Singapore Botanic Gardens,3.5,3.5,3.5,3.5
Pepperoni PIzza,"6 Greenwood Avenue Hillcrest Park Hillcrest Park, Singapore 289195 Singapore",3.5,142,"Italian, Pizza",SGD 13 - SGD 20,Vegetarian Friendly,Hillcrest1.8 miles from Singapore Botanic Gardens,4,3.5,3.5,3.5
Fremantle Seafood Market,"3E River Valley Road Traders' Market #01-05/06 Clarke Quay, Singapore 179024 Singapore",3,189,Vegetarian Friendly,"Wine Bar, Singaporean, Seafood","Lunch, Dinner, Late Night, Drinks",Central Area/City Area0.4 miles from City Hall Building,3,3,2.5,3.5
Senor Taco Clarke Quay,"3 D River Valley Road #01-12 Clarke Quay, Singapore 179023 Singapore",3.5,324,Vegetarian Friendly,SGD 9 - SGD 40,"Dinner, Late Night, Drinks",Central Area/City Area,3.5,3.5,3,3.5
Thai Express,"Temasek Boulevard, Singapore Singapore",3,261,Vegetarian Friendly,"Asian, Thai","Breakfast, Lunch, Dinner, Late Night",Central Area/City Area0.5 miles from Merlion Park,3.5,3,3,3
Islamic Restaurant,"745 North Bridge Road, Singapore 198713 Singapore",3.5,161,"Vegetarian Friendly, Halal",SGD 11 - SGD 20,"Lunch, Dinner",Rochor0.6 miles from Little India,4,3.5,3.5,3.5
The Penny Black Victorian London Pub,"26/27 Boat Quay, Singapore 049817 Singapore",3.5,259,"Bar, European, British, Pub",SGD 16 - SGD 33,"Lunch, Dinner, Brunch, Late Night, Drinks",Central Area/City Area0.3 miles from Merlion Park,3.5,4,3.5,4
Brunetti,"163 Tanglin Road Tanglin Mall #01-35 Tanglin Mall, Singapore 247933 Singapore",3.5,235,Vegetarian Friendly,"Italian, Cafe","Breakfast, Lunch, Brunch, Drinks",Central Area/City Area0.5 miles from Singapore Botanic Gardens,4,3.5,3.5,4
Harry's Boat Quay,"28 Boat Quay, Singapore 049818 Singapore",3,164,"Pub, Bar, Southwestern",SGD 20 - SGD 46,"Dinner, Late Night, Drinks",Central Area/City Area0.3 miles from Merlion Park,4,4,3.5,0
Iggy's,"581 Orchard Road Hilton International Singapore The Hilton Hotel, Singapore 238883 Singapore",4,304,"Lunch, Dinner, Late Night",European,"Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Boulevard0.8 miles from Singapore Botanic Gardens,4,4,3,3.5
Hooters,"Blk 3D River Valley Road #01-03 Shophouse Row, Clarke Quay, Singapore 179023 Singapore",3,525,"Lunch, Dinner, Late Night, Drinks","American, Bar","Takeout, Reservations, Outdoor Seating, Seating, Television, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Gift Cards Available",Central Area/City Area0.4 miles from Asian Civilisations Museum,3.5,3.5,3,3.5
Delhi Restaurant,"64 Race Course Road, Singapore 218569 Singapore",3.5,180,"Vegetarian Friendly, Vegan Options","Indian, Asian","Lunch, Dinner",Little India0.2 miles from Little India,4,3.5,3.5,3.5
Nara Thai Singapore,"2 Orchard Turn Ion Orchard Ste #B3-21, Singapore 238801 Singapore",3.5,209,"Lunch, Dinner","Asian, Thai","Takeout, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Reservations, Highchairs Available",Boulevard0.9 miles from Singapore Botanic Gardens,3.5,3.5,3,3.5
Octapas Spanish Tapas Bar,"Blk D, #01-08 Clarke Quay River Valley Road, Singapore 179023 Singapore",3.5,572,Vegetarian Friendly,"Bar, Mediterranean, European, Spanish","Lunch, Dinner, Late Night, Drinks",Central Area/City Area,3.5,3.5,3,3.5
No Signboard Seafood,"1 Harbourfront #03-02 Vivocity, Singapore 098585 Singapore",3.5,296,"Lunch, Dinner","Chinese, Seafood, Singaporean, Asian","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Table Service",Bukit Merah0.5 miles from Singapore Cable Car,3.5,3.5,2.5,3.5
Imperial Treasure Cantonese Cuisine,"1 Kim Seng Promenade Great World City Floor 02 Unit 111 112, Singapore 237994 Singapore",3.5,108,Chinese,SGD 20 - SGD 265,"Lunch, Brunch, Dinner",Central Area/City Area0.7 miles from Orchard Road,4,3.5,3.5,4
Orgo Bar and Restaurant,"8 Raffles Avenue #04-01 Esplanade Mall Roof Terrace, The Esplanade, Singapore 039802 Singapore",3.5,139,"Dinner, Late Night, Drinks","Bar, Contemporary","Reservations, Outdoor Seating, Private Dining, Seating, Serves Alcohol, Full Bar, Table Service",Marina Centre0.2 miles from Merlion Park,3.5,3.5,3,4
La Forketta,"Blk 9 Dempsey Road #01-09 Dempsey Hill, Singapore 247697 Singapore",3.5,374,Vegetarian Friendly,SGD 20 - SGD 50,"Lunch, Dinner",Tanglin0.7 miles from Singapore Botanic Gardens,4,3.5,3.5,4
El Mero Mero,"30 Victoria Street #01-20 Chijmes Chijmes, Singapore 187996 Singapore",3.5,459,"Mexican, Latin, Central American",SGD 40 - SGD 106,"Vegetarian Friendly, Vegan Options",City Hall0.1 miles from City Hall Building,4,4,3,4
The Square @ Furama,"405 Havelock Road, Singapore 169633 Singapore",3.5,208,"Breakfast, Lunch, Dinner",SGD 7 - SGD 13,"Asian, International, Singaporean",Central Area/City Area0.7 miles from Chinatown,3.5,3.5,3.5,3.5
Omakase Burger,"435 Orchard Road Floor 1 Wisma Atria, Singapore 238877 Singapore",3.5,136,"Lunch, Dinner","American, Fast Food","Takeout, Seating, Highchairs Available, Wheelchair Accessible",Boulevard1.1 miles from Singapore Botanic Gardens,4.0,3.5,3.0,3.0
Ayam Penyet Ria,"799 New Upper Changi Road #01-05 Bedok Point, Singapore 467351 Singapore",3.5,127,"Asian, Indonesian",SGD 7 - SGD 13,,Bedok2.7 miles from East Coast Park,3.5,3.0,3.5,3.0
Bee's Knees at The Garage,"50 Cluny Park Road Level 1, The Garage, Singapore Botanic Gardens, Singapore 257488 Singapore",4.0,175,"Cafe, International, Fusion",SGD 9 - SGD 36,"Vegetarian Friendly, Vegan Options",Tanglin0.8 miles from Singapore Botanic Gardens,4.0,3.5,3.5,4.0
Cali Park Avenue Rochester Hotel,"31 Rochester Drive Park Rochester Avenue #01-01/02, Singapore 138637 Singapore",3.0,144,"Bar, European, Grill",SGD 16 - SGD 50,"Dinner, Drinks, Breakfast, Lunch",One North2.0 miles from Singapore Botanic Gardens,3.0,3.0,3.0,3.0
Spices Cafe (Concorde Hotel),"100 Orchard Road Concorde Hotel And Shopping Mall, Singapore 238840 Singapore",4.0,424,"Lunch, Dinner, Breakfast","Seafood, Singaporean, Asian","Reservations, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service",Somerset0.2 miles from Orchard Road,4.0,4.0,4.0,4.0
Samy's Curry,"25 Dempsey Road Singapore Civil Service Sports Club, Singapore 249670 Singapore",4.0,615,"Indian, Singaporean, Asian",SGD 7 - SGD 13,"Vegetarian Friendly, Vegan Options, Gluten Free Options",Tanglin0.5 miles from Singapore Botanic Gardens,4.0,4.0,4.0,3.5
Imperial Treasure Super Peking Duck Restaurant,"290 Orchard Road The Paragon #05-42/45, Singapore 238859 Singapore",4.0,429,"Lunch, Dinner","Vegetarian Friendly, Gluten Free Options","Chinese, Asian",Boulevard0.2 miles from Orchard Road,4.5,4.0,3.5,4.0
Mellben Seafood,"232 Ang Mo Kio Avenue 3 Kebun Baru Palm View, Singapore 560232 Singapore",4.0,451,"Dinner, Late Night","Chinese, Seafood, Asian, Singaporean","Takeout, Outdoor Seating, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",Ang Mo Kio,4.5,3.5,3.5,3.5
Khansama Tandoori Restaurant,"166 Serangoon Road Little India Junction of Norris Road, Singapore 218050 Singapore",4.0,752,"Pakistani, Indian",SGD 13 - SGD 20,"Vegetarian Friendly, Vegan Options",Rochor0.2 miles from Little India,4.5,4.0,4.0,3.5
GRUB,"510 Ang Mo Kio Avenue 1, Singapore 569983 Singapore",4.0,438,"Lunch, Dinner, Brunch, Drinks, Breakfast",SGD 19 - SGD 36,"Bar, Cafe, American, Contemporary",Bishan,4.0,4.0,3.5,4.0
La Nonna,"26/26B Lorong Mambong, Singapore 277685 Singapore",4.0,307,"Dinner, Brunch, Lunch",Vegetarian Friendly,"Italian, Pizza, European",Holland Village1.6 miles from Singapore Botanic Gardens,4.0,4.0,4.0,4.0
Boon Tong Kee at River Valley,"425 River Valley Road, Singapore 248324 Singapore",4.0,284,"Chinese, Asian, Singaporean",SGD 13 - SGD 20,"Lunch, Dinner, Late Night",Tanglin1.2 miles from Singapore Botanic Gardens,4.0,3.5,4.0,3.5
